DateTime,High,Low,Average,Volume BTC
2016-08-03 00:00:00,567.50,530.44,550.06,82200.08
2016-08-02 00:00:00,612.96,517.81,593.22,96434.87
2016-08-01 00:00:00,626.10,608.34,620.98,63141.47
2016-07-31 00:00:00,654.47,626.88,635.54,64756.56
2016-07-30 00:00:00,657.44,653.54,655.50,16048.91
2016-07-29 00:00:00,657.30,654.93,655.85,22753.01
2016-07-28 00:00:00,658.02,654.91,655.96,26947.36
2016-07-27 00:00:00,658.14,648.81,652.78,36360.64
2016-07-26 00:00:00,655.81,645.84,652.10,50994.56
2016-07-25 00:00:00,661.41,653.34,656.38,36937.25
2016-07-24 00:00:00,662.32,652.72,656.91,39327.6
2016-07-23 00:00:00,655.48,649.83,653.50,36673.75
2016-07-22 00:00:00,666.50,647.81,659.77,59514.54
2016-07-21 00:00:00,665.44,660.66,663.66,33277.72
2016-07-20 00:00:00,673.76,663.37,669.22,37898.15
2016-07-19 00:00:00,675.69,668.19,672.05,30221.29
2016-07-18 00:00:00,683.14,667.95,678.23,44558.2
2016-07-17 00:00:00,684.35,666.18,673.96,40125.74
2016-07-16 00:00:00,673.56,666.02,668.21,19702.66
2016-07-15 00:00:00,669.65,660.38,666.24,40552.11
2016-07-14 00:00:00,665.00,653.56,659.88,49848.16
2016-07-13 00:00:00,669.57,655.69,664.46,82471.76
2016-07-12 00:00:00,675.99,650.28,660.29,73597.85
2016-07-11 00:00:00,660.52,646.12,651.39,41278.37
2016-07-10 00:00:00,651.47,641.37,648.23,43909.35
2016-07-09 00:00:00,664.50,630.49,652.14,118045.74
2016-07-08 00:00:00,665.58,635.26,647.62,72339.64
2016-07-07 00:00:00,681.19,610.55,644.24,149428.9
2016-07-06 00:00:00,681.29,668.18,675.41,40954.71
2016-07-05 00:00:00,681.59,662.87,673.01,45182.1
2016-07-04 00:00:00,681.68,646.97,670.68,50916.13
2016-07-03 00:00:00,704.51,647.74,676.08,86982.47
2016-07-02 00:00:00,703.12,675.04,688.50,64260.85
2016-07-01 00:00:00,684.24,670.13,677.35,91165.02
2016-06-30 00:00:00,683.66,638.89,660.54,112611.84
2016-06-29 00:00:00,644.92,624.74,636.60,108123.75
2016-06-28 00:00:00,661.18,638.03,649.98,84945.98
2016-06-27 00:00:00,658.08,618.20,640.08,92234.15
2016-06-26 00:00:00,666.31,614.99,642.51,82351.55
2016-06-25 00:00:00,692.65,644.59,673.40,97895.2
2016-06-24 00:00:00,678.71,623.59,655.22,177969.62
2016-06-23 00:00:00,631.51,554.51,592.86,234009.7
2016-06-22 00:00:00,679.93,586.04,652.82,188138.94
2016-06-21 00:00:00,734.59,634.62,683.11,223123.54
2016-06-20 00:00:00,764.73,726.49,749.97,97696.79
2016-06-19 00:00:00,768.20,742.23,756.88,52904.76
2016-06-18 00:00:00,784.16,724.91,751.99,112406.19
2016-06-17 00:00:00,774.47,705.83,748.94,172384.14
2016-06-16 00:00:00,772.99,696.99,740.35,222992.8
2016-06-15 00:00:00,697.49,672.08,685.42,69601.8
2016-06-14 00:00:00,704.23,661.21,687.81,124321.17
2016-06-13 00:00:00,716.90,659.67,688.61,203934.58
2016-06-12 00:00:00,682.69,606.60,640.69,206087.82
2016-06-11 00:00:00,612.24,580.79,586.73,52625.89
2016-06-10 00:00:00,582.92,576.02,579.29,41855.71
2016-06-09 00:00:00,584.86,574.34,579.94,49062.88
2016-06-08 00:00:00,584.88,573.28,578.97,48139.59
2016-06-07 00:00:00,592.19,567.85,583.83,81110.75
2016-06-06 00:00:00,587.37,574.60,582.99,59162.49
2016-06-05 00:00:00,585.00,568.20,576.89,53793.79
2016-06-04 00:00:00,592.27,563.91,574.73,77284.23
2016-06-03 00:00:00,576.23,538.67,558.72,107171.77
2016-06-02 00:00:00,542.22,535.48,538.55,49353.12
2016-06-01 00:00:00,544.83,525.34,534.75,64716.77
2016-05-31 00:00:00,546.89,520.25,536.65,111807.84
2016-05-30 00:00:00,544.50,520.61,534.79,72498.3
2016-05-29 00:00:00,555.20,509.40,525.21,135468.01
2016-05-28 00:00:00,532.64,472.53,498.64,144327.73
2016-05-27 00:00:00,480.43,456.40,473.31,132477.64
2016-05-26 00:00:00,457.91,450.45,454.65,35846.84
2016-05-25 00:00:00,454.84,448.89,451.98,38524.78
2016-05-24 00:00:00,453.12,446.68,449.94,34494.95
2016-05-23 00:00:00,447.68,440.56,443.77,37438.71
2016-05-22 00:00:00,448.33,440.75,445.23,27795.69
2016-05-21 00:00:00,448.33,443.75,446.13,23872.16
2016-05-20 00:00:00,447.09,437.72,443.83,49716.78
2016-05-19 00:00:00,460.50,438.01,453.71,65525.47
2016-05-18 00:00:00,460.21,455.71,458.57,32472.01
2016-05-17 00:00:00,459.18,455.45,457.51,36351.56
2016-05-16 00:00:00,462.26,453.92,459.21,39252.16
2016-05-15 00:00:00,464.17,459.33,461.42,21204.3
2016-05-14 00:00:00,460.82,457.63,459.16,21834.18
2016-05-13 00:00:00,459.49,455.79,457.63,34650.83
2016-05-12 00:00:00,457.33,451.59,454.36,49603.87
2016-05-11 00:00:00,457.65,452.40,455.55,43661.52
2016-05-10 00:00:00,470.17,450.37,458.60,64200.93
2016-05-09 00:00:00,471.98,460.07,462.78,51405.27
2016-05-08 00:00:00,463.98,460.28,461.86,28704.69
2016-05-07 00:00:00,462.99,458.89,460.85,30984.55
2016-05-06 00:00:00,463.00,449.12,453.99,72039.67
2016-05-05 00:00:00,450.49,448.24,449.37,43341.29
2016-05-04 00:00:00,451.64,446.33,449.19,41818.92
2016-05-03 00:00:00,452.23,442.84,448.21,52861.65
2016-05-02 00:00:00,454.78,441.08,447.64,77565.69
2016-05-01 00:00:00,455.83,449.59,453.02,21886.29
2016-04-30 00:00:00,457.26,449.44,454.63,38129.57
2016-04-29 00:00:00,457.38,447.19,452.17,46346.48
2016-04-28 00:00:00,450.26,436.56,445.88,80679.33
2016-04-27 00:00:00,469.22,445.03,461.08,97916.85
2016-04-26 00:00:00,470.00,462.41,466.05,72917.35
2016-04-25 00:00:00,468.61,455.32,460.50,80720.22
2016-04-24 00:00:00,462.03,451.18,455.84,65104.11
2016-04-23 00:00:00,453.44,446.92,449.35,37812.02
2016-04-22 00:00:00,451.76,445.04,447.58,53329.93
2016-04-21 00:00:00,452.65,442.04,445.64,65641.75
2016-04-20 00:00:00,444.21,436.00,439.20,73994.58
2016-04-19 00:00:00,438.10,430.84,432.63,48218.44
2016-04-18 00:00:00,431.30,428.40,429.83,41757.81
2016-04-17 00:00:00,433.95,428.24,431.78,28912.27
2016-04-16 00:00:00,435.18,430.98,432.93,31949.33
2016-04-15 00:00:00,432.10,424.40,429.30,53490.28
2016-04-14 00:00:00,428.23,423.59,426.28,30362.58
2016-04-13 00:00:00,427.75,423.51,425.38,38301.96
2016-04-12 00:00:00,429.40,424.14,426.23,60748.23
2016-04-11 00:00:00,424.99,419.65,423.00,37616.33
2016-04-10 00:00:00,424.91,420.37,422.32,23120.12
2016-04-09 00:00:00,421.42,415.59,419.28,29574.31
2016-04-08 00:00:00,426.67,418.97,423.85,46516.85
2016-04-07 00:00:00,424.75,421.76,423.64,40899.4
2016-04-06 00:00:00,425.71,423.63,424.67,36586.27
2016-04-05 00:00:00,425.86,421.10,423.97,43627.14
2016-04-04 00:00:00,422.11,418.68,420.61,36711.06
2016-04-03 00:00:00,423.06,419.87,421.49,25653.28
2016-04-02 00:00:00,423.46,418.64,421.57,31484.18
2016-04-01 00:00:00,418.80,416.43,417.77,39221.87
2016-03-31 00:00:00,419.07,414.89,417.61,45302.4
2016-03-30 00:00:00,417.18,412.05,415.02,47913.4
2016-03-29 00:00:00,426.86,411.30,420.58,71571.01
2016-03-28 00:00:00,426.43,422.68,424.73,45879.05
2016-03-27 00:00:00,428.61,418.60,422.77,61217.79
2016-03-26 00:00:00,425.87,418.10,421.04,29129.86
2016-03-25 00:00:00,426.72,416.26,420.91,34897.39
2016-03-24 00:00:00,423.72,417.24,419.89,41112.49
2016-03-23 00:00:00,421.19,418.99,420.15,40896.74
2016-03-22 00:00:00,422.68,414.27,419.08,50961.52
2016-03-21 00:00:00,414.97,409.82,411.86,44299.34
2016-03-20 00:00:00,416.14,411.64,413.62,31045.52
2016-03-19 00:00:00,412.95,408.32,410.70,37836.47
2016-03-18 00:00:00,422.56,405.91,416.65,68256.15
2016-03-17 00:00:00,423.60,419.52,421.82,43645.8
2016-03-16 00:00:00,421.61,418.05,419.53,46213.23
2016-03-15 00:00:00,420.65,417.32,419.21,48377.39
2016-03-14 00:00:00,418.02,414.25,416.05,49491.87
2016-03-13 00:00:00,418.49,411.86,415.14,35299.71
2016-03-12 00:00:00,423.28,411.04,416.60,59369.32
2016-03-11 00:00:00,424.92,418.16,421.82,60011.18
2016-03-10 00:00:00,418.74,413.98,416.55,57630.32
2016-03-09 00:00:00,417.05,411.74,414.65,47203.66
2016-03-08 00:00:00,417.88,413.39,415.34,52360.1
2016-03-07 00:00:00,416.63,405.21,410.59,62821.96
2016-03-06 00:00:00,411.97,393.97,404.89,60090.39
2016-03-05 00:00:00,410.88,391.97,404.30,125902.79
2016-03-04 00:00:00,425.20,409.57,421.22,75978.32
2016-03-03 00:00:00,425.92,418.32,422.50,79232.32
2016-03-02 00:00:00,437.13,423.89,433.66,60948.56
2016-03-01 00:00:00,440.36,431.84,436.22,70760.18
2016-02-29 00:00:00,442.31,431.95,437.76,71630.68
2016-02-28 00:00:00,437.60,424.74,431.57,51412.58
2016-02-27 00:00:00,436.60,432.63,434.59,42912.12
2016-02-26 00:00:00,434.43,420.36,426.17,57509.86
2016-02-25 00:00:00,429.34,420.46,424.41,52060.25
2016-02-24 00:00:00,427.39,413.69,423.45,68687.06
2016-02-23 00:00:00,443.57,417.87,429.96,96085.96
2016-02-22 00:00:00,442.04,433.54,438.44,58066.71
2016-02-21 00:00:00,449.78,428.96,439.84,102278.4
2016-02-20 00:00:00,444.08,420.85,431.47,113748.38
2016-02-19 00:00:00,425.09,415.88,420.47,52800.51
2016-02-18 00:00:00,426.54,416.31,420.62,76149.43
2016-02-17 00:00:00,422.52,406.01,415.46,94111.43
2016-02-16 00:00:00,409.38,400.63,404.49,69382.84
2016-02-15 00:00:00,410.92,397.29,404.56,84188.53
2016-02-14 00:00:00,408.47,393.09,400.56,76486.06
2016-02-13 00:00:00,393.78,386.82,390.47,48183.44
2016-02-12 00:00:00,388.15,378.72,383.38,57945.77
2016-02-11 00:00:00,384.40,374.45,379.49,68626.69
2016-02-10 00:00:00,386.73,374.51,380.60,99258.97
2016-02-09 00:00:00,379.06,371.92,374.06,57033.68
2016-02-08 00:00:00,380.84,373.09,377.53,64978.41
2016-02-07 00:00:00,381.80,375.16,378.12,41355.32
2016-02-06 00:00:00,388.14,372.32,377.88,81714.17
2016-02-05 00:00:00,392.29,386.31,388.84,62272.9
2016-02-04 00:00:00,393.14,370.48,380.05,109615.34
2016-02-03 00:00:00,377.38,368.46,374.25,63505.57
2016-02-02 00:00:00,378.56,373.35,376.38,52990.37
2016-02-01 00:00:00,379.61,367.84,373.83,77215.33
2016-01-31 00:00:00,383.04,366.48,380.29,46710.17
2016-01-30 00:00:00,382.28,376.97,380.11,37729.1
2016-01-29 00:00:00,386.14,364.87,376.97,143963.02
2016-01-28 00:00:00,398.25,380.51,385.74,78940.94
2016-01-27 00:00:00,398.99,392.90,396.67,44029.23
2016-01-26 00:00:00,399.43,391.30,395.14,58854.1
2016-01-25 00:00:00,403.22,387.91,397.17,70362.61
2016-01-24 00:00:00,406.24,388.13,397.92,65763.55
2016-01-23 00:00:00,394.93,382.39,389.74,63503.52
2016-01-22 00:00:00,411.74,375.07,394.97,149527.86
2016-01-21 00:00:00,423.25,406.90,415.03,88978.68
2016-01-20 00:00:00,425.79,376.88,394.49,198135.22
2016-01-19 00:00:00,388.25,378.94,384.69,65734.33
2016-01-18 00:00:00,388.43,376.29,383.90,67153.58
2016-01-17 00:00:00,391.16,379.12,385.45,66538.82
2016-01-16 00:00:00,391.70,354.13,372.08,192583.4
2016-01-15 00:00:00,430.68,361.35,402.71,288770.5
2016-01-14 00:00:00,435.01,429.23,431.76,43861.95
2016-01-13 00:00:00,436.98,421.87,430.19,99592.38
2016-01-12 00:00:00,450.38,434.99,448.41,53791.2
2016-01-11 00:00:00,452.35,444.49,448.60,55478.76
2016-01-10 00:00:00,451.08,442.94,446.83,45203.88
2016-01-09 00:00:00,456.17,448.74,451.91,39391.59
2016-01-08 00:00:00,463.68,448.26,455.93,83763.91
2016-01-07 00:00:00,460.65,431.04,449.41,138158.57
2016-01-06 00:00:00,433.90,427.98,432.06,45376.94
2016-01-05 00:00:00,436.22,431.50,433.72,45850.88
2016-01-04 00:00:00,436.09,429.54,432.17,51764.72
2016-01-03 00:00:00,435.41,425.51,430.93,54695.03
2016-01-02 00:00:00,436.81,432.12,434.36,34194.61
2016-01-01 00:00:00,436.42,428.88,433.38,47201.14
2015-12-31 00:00:00,433.34,418.49,426.65,66805.06
2015-12-30 00:00:00,434.95,422.35,429.91,68800.37
2015-12-29 00:00:00,433.78,421.40,426.39,73394.84
2015-12-28 00:00:00,429.62,418.18,424.97,76316.33
2015-12-27 00:00:00,424.97,408.36,418.76,76815.46
2015-12-26 00:00:00,457.66,404.81,429.96,212788.36
2015-12-25 00:00:00,458.37,451.88,455.31,43513.53
2015-12-24 00:00:00,460.16,443.78,454.88,78008.35
2015-12-23 00:00:00,446.15,436.96,441.69,63618.31
2015-12-22 00:00:00,444.71,435.49,439.86,68204.88
2015-12-21 00:00:00,445.44,425.86,437.54,121875.96
2015-12-20 00:00:00,463.33,433.92,454.42,119264.13
2015-12-19 00:00:00,466.96,456.36,463.92,61838.88
2015-12-18 00:00:00,467.92,454.41,461.05,84161.19
2015-12-17 00:00:00,460.89,448.86,455.66,67374.29
